"Enabled","启用"
"Test Mode","测试模式"
"Test Order Prefix","测试订单前置词"
"New Order Status","新订单状态"
"Processing Order Status","处理中订单状态"
"Title","标题"
"Merchant ID","特店代码"
"Hash Key","金钥(Hash Key)"
"Hash IV","向量(Hash IV)"
"Paid","已付款。"
"Order No not found","无订单可供处理"
"Redirect to pay page","导至缴费资讯页面。"
"Transaction amount doesn't match","交易金额不匹配"
"Commodity Group","网路商品一批"
"ATM Payment Information", "付款方式: %s<br />付款时间: %s<br />银行代码: %s<br />虚拟帐号: %s<br />付款截止日: %s<br />"
"BARCODE Payment Information", "付款方式: %s<br />付款时间: %s<br />缴费代码: %s<br />付款截止日: %s<br />条码第一段号码: %s<br />条码第二段号码: %s<br />条码第三段号码: %s<br />"
"CVS Payment Information", "付款方式: %s<br />付款时间: %s<br />缴费代码: %s<br />付款截止日: %s<br />条码第一段号码: %s<br />条码第二段号码: %s<br />条码第三段号码: %s<br />"
